job;salary;id;city;year;age
Инженер;25632;2119259;Льейда;2005;31
Оператор call-центра;132438;5313078;Прага;2008;41
Программист;30170;1628099;Мурсия;2007;61
Врач;160312;7464895;Прага;2007;37
Косметолог;68723;8421225;Мартоса;2019;22
Программист;25576;4694899;Куэнка;2022;25
Строитель;106356;7227252;Белград;2019;43
Водитель;107890;9918218;Виго;2003;38
IT-специалист;123039;5905486;Бургос;2021;53
Строитель;62546;9403409;Трухильо;2012;55
Врач;54564;4200442;Алма-Ата;2002;38
Повар;96680;6957746;Малага;2013;29
Повар;24243;8048660;Сантьяго-де-Компостела;2000;53
Медсестра;146263;2923367;Бишкек;2008;59
Инженер;127009;8887309;Белград;2018;33
Повар;143397;2281793;Алма-Ата;2022;55
Оператор call-центра;118543;5735404;Вальядолид;2008;29
Продавец;188792;4737785;Варшава;2014;64
Продавец;35618;4572245;Артейхо;2001;34
Врач;51052;5796975;Варшава;2002;61
Программист;148372;5507244;Овьедо;2014;50
Инженер;81986;2834193;Баку;2016;27
Строитель;134917;4750755;Санкт-Петербург;2008;41
Бухгалтер;182936;2813650;Аликанте;2003;19
Учитель;163174;9087316;Эльче;2017;47
Бухгалтер;121207;3463836;Вильнюс;2018;64
Косметолог;193208;5945955;Сараево;2012;45
Врач;142758;6883045;Монсон;2017;55
Психолог;164582;4213811;Загреб;2021;49
Косметолог;120670;1783803;Гранада;2014;27
Бухгалтер;129425;8551428;Вроцлав;2012;19
IT-специалист;111787;5486791;Тудела;2001;63
Продавец;191651;1126581;Санхенхо;2008;35
Программист;184727;9096649;Лас-Росас;2006;38
Учитель;91479;7625540;Таллин;2000;49
Менеджер;121423;4540932;Алькала-де-Энарес;2005;33
Инженер;139755;4054661;Бургос;2010;49
Медсестра;126280;1324783;Камбадос;2011;52
Продавец;130831;8646937;Сантьяго-де-Компостела;2003;57
Продавец;199392;9628700;Овьедо;2022;37
Инженер;181584;7208602;Сория;1999;23
Медсестра;87139;1856982;Фигерас;2008;30
Косметолог;26346;4537436;Кадакес;2005;57
Учитель;106781;4963271;Ереван;2008;57
Косметолог;100790;6516747;Тудела;2000;42
Косметолог;95981;6192378;Будапешт;2003;50
Врач;137689;3990563;Сория;2017;27
Менеджер;73379;1028911;Куэнка;2017;25
Медсестра;121313;8671526;Будапешт;2013;57
Врач;174138;7091245;Загреб;1999;50
Врач;96696;6989459;Эль-Пуэрто-де-Санта-Мария;2019;63
Психолог;172695;3690875;Бильбао;2015;22
Учитель;61183;7173505;Осера;2013;38
Архитектор;53571;3419266;Белград;2009;26
Бухгалтер;40742;2677909;Таллин;2001;26
Врач;103610;2118778;Хихон;2012;32
Врач;137127;7226264;Сория;2011;36
Оператор call-центра;88202;6361448;Сеговия;2020;30
IT-специалист;85727;5536258;Алькала-де-Энарес;2000;64
Инженер;56726;3240132;Баку;2019;59
Повар;55307;6646882;Гранада;2021;62
Архитектор;113865;4663925;Севилья;2012;28
Бухгалтер;181024;1968002;Кадакес;2000;30
Повар;89716;7757210;Вильнюс;2003;33
Архитектор;22342;5539956;Загреб;2005;33
IT-специалист;132238;7957045;Пласенсия;2002;33
Медсестра;166958;2998428;Махадаонда;2005;58
Повар;182635;3491870;Рига;2007;51
IT-специалист;82926;3206203;Санхенхо;2018;62
Архитектор;113131;9370557;Тарраса;2018;26
Программист;135758;3216698;Сан-Себастьян;2007;27
Медсестра;73317;2800010;Сеговия;2015;45
Программист;45785;8037019;Сьюдад-Реаль;2007;37
Строитель;128465;7223148;Минск;2013;40
Архитектор;131752;2828172;Москва;2001;31
Психолог;168427;2751645;Кордова;2008;40
Косметолог;87046;6730772;Алма-Ата;1999;60
Учитель;115718;3109304;Москва;2011;62
Учитель;167100;1036924;Астана;2004;43
Учитель;68148;9291511;Сьюдад-Реаль;2007;52
IT-специалист;37643;9332365;Кадакес;2011;37
